month,count_aircraft,mean_delay_minutes,std_delay_minutes,mean_number_updates,std_number_updates,compliance,count_DAL,DAL_mean_delay_minutes,DAL_std_delay_minutes,DAL_mean_number_updates,DAL_std_number_updates,count_AAL,AAL_mean_delay_minutes,AAL_std_delay_minutes,AAL_mean_number_updates,AAL_std_number_updates
1.0,430.0,3.8837596899224804,5.756228944757871,0.46744186046511627,0.8731212745175673,0.34651162790697676,234.0,4.381481481481482,6.384677905649045,0.45726495726495725,0.8888258387088176,191.0,3.300349040139616,4.895822887817209,0.47643979057591623,0.8573029282753147
2.0,414.0,4.8324879227053135,6.549498105478872,0.41304347826086957,0.7970429082683097,0.41304347826086957,233.0,5.290557939914163,6.663620102993304,0.4721030042918455,0.8760921005549177,174.0,4.374137931034483,6.458436979028206,0.3505747126436782,0.686849818793385
3.0,469.0,4.6318407960199,6.039416578683504,0.39019189765458423,0.8159663176091697,0.39445628997867804,262.0,4.411259541984733,6.073382440579928,0.40076335877862596,0.8597421143420537,205.0,4.826666666666667,5.862999169303991,0.3804878048780488,0.7615835901603507
4.0,457.0,5.463056163384391,7.324331744129094,0.4113785557986871,0.7817277753250041,0.3851203501094092,254.0,5.590157480314961,7.468084738037236,0.41338582677165353,0.8090263708502515,202.0,5.330280528052805,7.163548650923391,0.40594059405940597,0.7488394712268487
5.0,454.0,3.9406020558002934,5.55847996876351,0.3876651982378855,0.8269347173345564,0.40969162995594716,259.0,3.623809523809524,5.534831315999351,0.3783783783783784,0.895550843692989,193.0,4.3515544041450775,5.577977364894965,0.40414507772020725,0.7305701395778724
6.0,432.0,5.132330246913581,6.5384755929930405,0.39814814814814814,1.0503767068347707,0.39814814814814814,253.0,4.215217391304348,5.744278850633995,0.4426877470355731,1.2351000414657252,174.0,6.563601532567049,7.400612955543792,0.3448275862068966,0.7185017521130438
7.0,449.0,4.126243504083147,5.881997993111706,0.4142538975501114,0.854281202469151,0.3585746102449889,265.0,3.8646540880503144,5.419022422447863,0.4490566037735849,0.8247181891293816,182.0,4.538553113553113,6.513331131252283,0.36813186813186816,0.8991560341091763
8.0,467.0,5.340685224839401,6.451765067857988,0.4925053533190578,0.884685837811163,0.39828693790149894,271.0,5.0249077490774905,6.258023963823356,0.5018450184501845,0.9423160543374683,190.0,5.8607894736842105,6.743912857645561,0.4631578947368421,0.7808627207736041
9.0,443.0,3.804326561324304,5.662414513827075,0.37697516930022573,0.8375318549042354,0.3860045146726862,253.0,3.5254940711462455,5.436791169682548,0.38735177865612647,0.840539145032601,184.0,4.175815217391304,5.958532778424427,0.3695652173913043,0.8456560980449496
10.0,502.0,4.206374501992032,7.129964062968337,0.36363636363636365,0.7667526018061869,0.48406374501992033,206.0,3.800728155339806,6.801749994688032,0.4090909090909091,0.8272365241507859,264.0,4.468181818181818,6.529473638928293,0.2976190476190476,0.6726993260345034
