Callsign,Destination,Release Type,Time APREQ Scheduled in TBFM,APREQ Time,Estimated Wheels Off,Compliance (minutes),Compliant,Pre-Scheduled,EOBT at Pre-Schedule,TBFM Assigned Delay (minutes),EOBT at Pushback,Actual Pushback,Number of APREQ Updates,First Time APREQ Scheduled in TBFM,First APREQ Time,Last Time APREQ Scheduled in TBFM,Last APREQ Time
ASH6065,KIAH,APREQ,2018-10-25 11:04:33,2018-10-25 11:11:00,2018-10-25 11:10:01,-1.0,True,False,,2.3,,2018-10-25 10:45:30,2,2018-10-25 10:45:46,2018-10-25 11:00:38,2018-10-25 11:04:33,2018-10-25 11:11:00
AAL1643,KATL,APREQ,2018-10-25 13:20:15,2018-10-25 13:50:59,2018-10-25 13:51:46,1.0,True,True,2018-10-25 13:35:00,0.5,2018-10-25 13:29:00,2018-10-25 13:34:13,0,2018-10-25 13:20:15,2018-10-25 13:50:59,,
DAL2422,KATL,APREQ,2018-10-25 13:20:18,2018-10-25 13:55:44,2018-10-25 13:55:29,0.0,True,True,2018-10-25 13:35:00,0.9,2018-10-25 13:35:00,2018-10-25 13:33:12,0,2018-10-25 13:20:18,2018-10-25 13:55:44,,
DAL2609,KATL,APREQ,2018-10-25 14:27:07,2018-10-25 14:57:40,2018-10-25 14:55:31,-2.0,True,True,2018-10-25 14:42:00,0.6,2018-10-25 14:42:00,2018-10-25 14:41:02,0,2018-10-25 14:27:07,2018-10-25 14:57:40,,
DAL2251,KATL,APREQ,2018-10-25 15:45:10,2018-10-25 16:26:25,2018-10-25 16:24:26,-2.0,True,True,2018-10-25 16:00:00,0.2,2018-10-25 15:52:00,2018-10-25 16:02:54,0,2018-10-25 15:45:10,2018-10-25 16:26:25,,
JIA5333,KATL,APREQ,2018-10-25 16:52:54,2018-10-25 17:21:12,2018-10-25 17:16:58,-5.0,False,True,2018-10-25 15:45:00,8.0,2018-10-25 15:45:00,2018-10-25 16:58:48,1,2018-10-25 15:30:18,2018-10-25 16:20:09,2018-10-25 16:52:54,2018-10-25 17:21:12
DAL1095,KATL,APREQ,2018-10-25 17:03:05,2018-10-25 17:44:53,2018-10-25 17:43:31,-1.0,True,True,2018-10-25 17:15:00,5.1,2018-10-25 17:15:00,2018-10-25 17:12:40,0,2018-10-25 17:03:05,2018-10-25 17:44:53,,
AAL877,KATL,APREQ,2018-10-25 17:03:07,2018-10-25 17:48:49,2018-10-25 17:47:02,-1.0,True,True,2018-10-25 17:17:52,5.0,2018-10-25 17:17:52,2018-10-25 17:13:23,0,2018-10-25 17:03:07,2018-10-25 17:48:49,,
AAL1650,KORD,APREQ,2018-10-25 17:31:12,2018-10-25 17:55:00,2018-10-25 17:57:01,2.0,False,False,,12.8,2018-10-25 17:14:59,2018-10-25 17:19:14,1,2018-10-25 17:18:45,2018-10-25 17:39:00,2018-10-25 17:31:12,2018-10-25 17:55:00
RPA3460,KORD,APREQ,2018-10-25 17:57:12,2018-10-25 18:15:00,2018-10-25 18:14:29,-1.0,True,False,,14.0,,2018-10-25 17:53:11,1,2018-10-25 17:37:14,2018-10-25 18:19:00,2018-10-25 17:57:12,2018-10-25 18:15:00
