Callsign,Destination,Release Type,Time APREQ Scheduled in TBFM,APREQ Time,Estimated Wheels Off,Compliance (minutes),Compliant,Pre-Scheduled,EOBT at Pre-Schedule,TBFM Assigned Delay (minutes),EOBT at Pushback,Actual Pushback,Number of APREQ Updates,First Time APREQ Scheduled in TBFM,First APREQ Time,Last Time APREQ Scheduled in TBFM,Last APREQ Time
AAL462,KORD,APREQ,2018-10-20 11:35:47,2018-10-20 11:55:00,2018-10-20 11:55:05,0.0,True,False,,7.1,2018-10-20 11:33:00,2018-10-20 11:35:43,0.0,2018-10-20 11:35:47,2018-10-20 11:55:00,,
DAL1591,KATL,APREQ,2018-10-20 11:32:53,2018-10-20 11:59:16,2018-10-20 11:59:46,0.0,True,True,2018-10-20 11:30:00,22.5,2018-10-20 11:30:00,2018-10-20 11:24:43,3.0,2018-10-20 11:16:09,2018-10-20 12:26:05,2018-10-20 11:32:53,2018-10-20 11:59:16
AAL419,KATL,APREQ,2018-10-20 11:40:11,2018-10-20 12:29:00,2018-10-20 12:29:11,0.0,True,True,2018-10-20 11:55:00,19.4,2018-10-20 11:49:00,2018-10-20 11:52:22,0.0,2018-10-20 11:40:11,2018-10-20 12:29:00,,
RPA3522,KIAH,APREQ,2018-10-20 12:58:19,2018-10-20 13:08:00,2018-10-20 13:05:18,-3.0,False,False,,-1.7,,2018-10-20 12:55:56,1.0,2018-10-20 12:58:08,2018-10-20 13:10:18,2018-10-20 12:58:19,2018-10-20 13:08:00
AAL861,KIAH,APREQ,2018-10-20 12:58:42,2018-10-20 13:14:47,2018-10-20 13:12:22,-2.0,True,False,,0.1,2018-10-20 12:48:56,2018-10-20 12:59:26,0.0,2018-10-20 12:58:42,2018-10-20 13:14:47,,
DAL2422,KATL,APREQ,2018-10-20 13:29:39,2018-10-20 13:43:21,2018-10-20 13:41:48,-2.0,True,True,2018-10-20 13:30:00,-9.1,2018-10-20 13:30:00,2018-10-20 13:29:43,1.0,2018-10-20 13:19:06,2018-10-20 13:53:04,2018-10-20 13:29:39,2018-10-20 13:43:21
DAL2609,KATL,APREQ,2018-10-20 14:44:11,2018-10-20 14:49:00,2018-10-20 14:48:40,-1.0,True,True,2018-10-20 14:42:00,1.3,2018-10-20 14:40:00,2018-10-20 14:36:46,1.0,2018-10-20 14:28:14,2018-10-20 14:58:49,2018-10-20 14:44:11,2018-10-20 14:49:00
AAL1110,KORD,APREQ,2018-10-20 15:28:11,2018-10-20 15:50:00,2018-10-20 15:47:26,-3.0,False,False,,3.0,2018-10-20 15:24:56,2018-10-20 15:29:38,0.0,2018-10-20 15:28:11,2018-10-20 15:50:00,,
DAL1095,KATL,APREQ,2018-10-20 16:45:33,2018-10-20 17:20:48,2018-10-20 17:17:23,-3.0,False,True,2018-10-20 17:00:00,0.6,2018-10-20 17:00:00,2018-10-20 16:56:18,0.0,2018-10-20 16:45:33,2018-10-20 17:20:48,,
AAL1650,KORD,APREQ,2018-10-20 17:21:22,2018-10-20 17:30:16,2018-10-20 17:29:16,-1.0,True,False,,2.6,2018-10-20 17:16:00,2018-10-20 17:12:11,1.0,2018-10-20 17:13:56,2018-10-20 17:25:00,2018-10-20 17:21:22,2018-10-20 17:30:16
