Callsign,Destination,Release Type,Time APREQ Scheduled in TBFM,APREQ Time,Estimated Wheels Off,Compliance (minutes),Compliant,Pre-Scheduled,EOBT at Pre-Schedule,TBFM Assigned Delay (minutes),EOBT at Pushback,Actual Pushback,Number of APREQ Updates,First Time APREQ Scheduled in TBFM,First APREQ Time,Last Time APREQ Scheduled in TBFM,Last APREQ Time
AAL462,KORD,APREQ,2018-10-14 11:49:55,2018-10-14 12:08:00,2018-10-14 12:06:00,-2.0,True,False,,0.7,2018-10-14 11:50:00,2018-10-14 11:58:04,0,2018-10-14 11:49:55,2018-10-14 12:08:00,,
DAL2422,KATL,APREQ,2018-10-14 13:21:16,2018-10-14 14:01:16,2018-10-14 14:00:46,-1.0,True,True,2018-10-14 13:35:00,-0.1,2018-10-14 13:32:00,2018-10-14 13:36:13,0,2018-10-14 13:21:16,2018-10-14 14:01:16,,
DAL2609,KATL,APREQ,2018-10-14 14:27:13,2018-10-14 14:59:50,2018-10-14 14:58:51,-1.0,True,True,2018-10-14 14:42:00,0.6,2018-10-14 14:42:00,2018-10-14 14:39:33,0,2018-10-14 14:27:13,2018-10-14 14:59:50,,
JIA5333,KATL,APREQ,2018-10-14 15:31:02,2018-10-14 16:11:26,2018-10-14 16:12:33,1.0,True,True,2018-10-14 15:40:51,0.9,2018-10-14 15:40:51,2018-10-14 15:44:48,0,2018-10-14 15:31:02,2018-10-14 16:11:26,,
DAL2251,KATL,APREQ,2018-10-14 15:45:10,2018-10-14 16:27:48,2018-10-14 16:26:32,-1.0,True,True,2018-10-14 16:00:00,1.2,2018-10-14 16:00:00,2018-10-14 16:03:37,0,2018-10-14 15:45:10,2018-10-14 16:27:48,,
AAL1650,KORD,APREQ,2018-10-14 17:23:15,2018-10-14 17:50:13,2018-10-14 17:48:43,-2.0,True,False,,7.1,2018-10-14 17:16:00,2018-10-14 17:21:50,1,2018-10-14 17:23:11,2018-10-14 17:42:00,2018-10-14 17:23:15,2018-10-14 17:50:13
RPA3460,KORD,APREQ,2018-10-14 17:50:12,2018-10-14 18:14:47,2018-10-14 18:11:37,-3.0,False,False,,20.7,,2018-10-14 17:39:02,3,2018-10-14 17:40:59,2018-10-14 18:03:49,2018-10-14 17:50:12,2018-10-14 18:14:47
AAL1883,KORD,APREQ,2018-10-14 18:26:47,2018-10-14 18:49:29,2018-10-14 18:46:56,-3.0,False,False,,0.1,2018-10-14 18:32:00,2018-10-14 18:38:21,0,2018-10-14 18:26:47,2018-10-14 18:49:29,,
DAL2597,KATL,APREQ,2018-10-14 18:34:34,2018-10-14 19:19:41,2018-10-14 19:20:43,1.0,True,True,2018-10-14 18:49:00,9.5,2018-10-14 18:47:00,2018-10-14 18:51:40,0,2018-10-14 18:34:34,2018-10-14 19:19:41,,
SWA4044,KHOU,APREQ,2018-10-14 18:56:59,2018-10-14 19:22:00,2018-10-14 19:22:57,0.0,True,False,,16.2,,2018-10-14 18:49:20,0,2018-10-14 18:56:59,2018-10-14 19:22:00,,
AAL2040,KATL,APREQ,2018-10-14 18:58:30,2018-10-14 19:29:15,2018-10-14 19:29:04,0.0,True,True,2018-10-14 19:11:47,0.6,2018-10-14 19:11:47,2018-10-14 19:13:23,0,2018-10-14 18:58:30,2018-10-14 19:29:15,,
JIA5354,KATL,APREQ,2018-10-14 20:01:50,2018-10-14 20:07:24,2018-10-14 20:06:29,-1.0,True,True,2018-10-14 19:56:00,0.9,2018-10-14 19:56:00,2018-10-14 19:49:56,1,2018-10-14 19:41:15,2018-10-14 20:19:19,2018-10-14 20:01:50,2018-10-14 20:07:24
DAL2133,KATL,APREQ,2018-10-14 19:37:12,2018-10-14 20:09:50,2018-10-14 20:07:48,-2.0,True,True,2018-10-14 19:52:00,0.6,2018-10-14 19:52:00,2018-10-14 19:49:56,0,2018-10-14 19:37:12,2018-10-14 20:09:50,,
DAL2642,KATL,APREQ,2018-10-14 21:35:25,2018-10-14 22:19:06,2018-10-14 22:17:44,-2.0,True,True,2018-10-14 21:50:00,3.4,2018-10-14 21:53:00,2018-10-14 21:59:02,0,2018-10-14 21:35:25,2018-10-14 22:19:06,,
AAL1816,KDFW,APREQ,2018-10-14 22:00:42,2018-10-14 22:20:00,2018-10-14 22:18:46,-2.0,True,False,,11.4,2018-10-14 21:50:55,2018-10-14 21:57:06,0,2018-10-14 22:00:42,2018-10-14 22:20:00,,
JIA5212,KATL,APREQ,2018-10-14 21:44:16,2018-10-14 22:30:32,2018-10-14 22:28:18,-2.0,True,True,2018-10-14 21:59:05,0.6,2018-10-14 21:59:05,2018-10-14 22:01:41,0,2018-10-14 21:44:16,2018-10-14 22:30:32,,
DAL826,KATL,APREQ,2018-10-14 23:54:31,2018-10-14 23:59:44,2018-10-14 23:58:03,-1.0,True,True,2018-10-14 23:45:00,4.4,2018-10-14 23:45:00,2018-10-14 23:41:46,2,2018-10-14 23:32:00,2018-10-15 00:04:34,2018-10-14 23:54:31,2018-10-14 23:59:44
AAL763,KATL,APREQ,2018-10-15 00:22:26,2018-10-15 00:28:20,2018-10-15 00:27:15,-1.0,True,True,2018-10-15 00:19:00,2.8,2018-10-15 00:19:00,2018-10-15 00:15:05,1,2018-10-15 00:04:14,2018-10-15 00:36:01,2018-10-15 00:22:26,2018-10-15 00:28:20
