Callsign,Destination,Release Type,Time APREQ Scheduled in TBFM,APREQ Time,Estimated Wheels Off,Compliance (minutes),Compliant,Pre-Scheduled,EOBT at Pre-Schedule,TBFM Assigned Delay (minutes),EOBT at Pushback,Actual Pushback,Number of APREQ Updates,First Time APREQ Scheduled in TBFM,First APREQ Time,Last Time APREQ Scheduled in TBFM,Last APREQ Time
AAL462,KORD,APREQ,2018-10-17 11:32:44,2018-10-17 11:50:00,2018-10-17 11:46:38,-4.0,False,False,,9.0,2018-10-17 11:36:00,2018-10-17 11:31:04,0.0,2018-10-17 11:32:44,2018-10-17 11:50:00,,
AAL419,KATL,APREQ,2018-10-17 12:03:54,2018-10-17 12:18:00,2018-10-17 12:14:51,-4.0,False,True,2018-10-17 11:55:00,5.4,2018-10-17 11:55:00,2018-10-17 11:51:42,1.0,2018-10-17 11:40:19,2018-10-17 12:18:20,2018-10-17 12:03:54,2018-10-17 12:18:00
DAL1591,KATL,APREQ,2018-10-17 12:21:31,2018-10-17 12:35:24,2018-10-17 12:30:43,-5.0,False,True,2018-10-17 11:30:00,8.6,2018-10-17 11:28:00,2018-10-17 11:28:50,2.0,2018-10-17 11:20:03,2018-10-17 12:17:32,2018-10-17 12:21:31,2018-10-17 12:35:24
RPA3522,KIAH,APREQ,2018-10-17 13:06:16,2018-10-17 13:16:10,2018-10-17 13:07:04,-9.0,False,False,,9.9,,2018-10-17 12:57:08,0.0,2018-10-17 13:06:16,2018-10-17 13:16:10,,
AAL1643,KATL,APREQ,2018-10-17 13:20:13,2018-10-17 13:51:39,2018-10-17 13:50:18,-1.0,True,True,2018-10-17 13:35:00,0.6,2018-10-17 13:27:00,2018-10-17 13:32:25,0.0,2018-10-17 13:20:13,2018-10-17 13:51:39,,
DAL2422,KATL,APREQ,2018-10-17 13:20:15,2018-10-17 14:02:21,2018-10-17 14:01:12,-1.0,True,True,2018-10-17 13:35:00,0.6,2018-10-17 13:35:00,2018-10-17 13:30:12,0.0,2018-10-17 13:20:15,2018-10-17 14:02:21,,
DAL2609,KATL,APREQ,2018-10-17 14:50:43,2018-10-17 14:56:56,2018-10-17 14:55:42,-1.0,True,True,2018-10-17 14:42:00,2.5,2018-10-17 14:40:00,2018-10-17 14:43:16,1.0,2018-10-17 14:27:19,2018-10-17 15:13:07,2018-10-17 14:50:43,2018-10-17 14:56:56
AAL620,KIAH,FREE,,,2018-10-17 15:30:24,,True,,,,2018-10-17 15:16:30,2018-10-17 15:17:52,,,,,
AAL2552,KDFW,APREQ,2018-10-17 16:00:02,2018-10-17 16:12:00,2018-10-17 16:10:35,-2.0,True,False,,0.6,2018-10-17 15:39:00,2018-10-17 15:51:24,0.0,2018-10-17 16:00:02,2018-10-17 16:12:00,,
JIA5333,KATL,APREQ,2018-10-17 15:35:13,2018-10-17 16:21:09,2018-10-17 16:18:17,-3.0,False,True,2018-10-17 15:45:00,4.3,2018-10-17 15:45:00,2018-10-17 15:39:58,0.0,2018-10-17 15:35:13,2018-10-17 16:21:09,,
ASH6212,KIAH,APREQ,2018-10-17 15:56:33,2018-10-17 16:26:28,2018-10-17 16:22:43,-4.0,False,False,,7.1,,2018-10-17 15:54:47,1.0,2018-10-17 15:24:45,2018-10-17 15:51:04,2018-10-17 15:56:33,2018-10-17 16:26:28
DAL2251,KATL,APREQ,2018-10-17 15:46:54,2018-10-17 16:33:26,2018-10-17 16:30:40,-3.0,False,True,2018-10-17 16:00:00,5.2,2018-10-17 15:58:00,2018-10-17 16:05:29,0.0,2018-10-17 15:46:54,2018-10-17 16:33:26,,
AAL846,KDFW,APREQ,2018-10-17 17:05:25,2018-10-17 17:15:31,2018-10-17 17:16:15,1.0,True,False,,0.5,2018-10-17 16:59:01,2018-10-17 16:59:00,0.0,2018-10-17 17:05:25,2018-10-17 17:15:31,,
AAL1562,KIAH,APREQ,2018-10-17 17:14:29,2018-10-17 17:32:00,2018-10-17 17:30:23,-2.0,True,False,,2.3,2018-10-17 17:15:59,2018-10-17 17:12:40,0.0,2018-10-17 17:14:29,2018-10-17 17:32:00,,
DAL1095,KATL,APREQ,2018-10-17 17:00:21,2018-10-17 17:47:34,2018-10-17 17:35:29,-12.0,False,True,2018-10-17 17:15:00,4.1,2018-10-17 17:15:00,2018-10-17 17:20:26,0.0,2018-10-17 17:00:21,2018-10-17 17:47:34,,
AAL877,KATL,APREQ,2018-10-17 17:05:27,2018-10-17 17:49:31,2018-10-17 17:38:04,-11.0,False,True,2018-10-17 17:16:00,12.5,2018-10-17 17:16:00,2018-10-17 17:23:40,0.0,2018-10-17 17:05:27,2018-10-17 17:49:31,,
AAL1883,KORD,APREQ,2018-10-17 18:49:24,2018-10-17 18:57:39,2018-10-17 18:55:23,-2.0,True,False,,3.5,2018-10-17 18:34:00,2018-10-17 18:40:25,0.0,2018-10-17 18:49:24,2018-10-17 18:57:39,,
DAL2597,KATL,APREQ,2018-10-17 18:52:04,2018-10-17 19:05:31,2018-10-17 19:01:10,-4.0,False,True,2018-10-17 18:49:00,5.0,2018-10-17 18:49:00,2018-10-17 18:45:35,1.0,2018-10-17 18:34:10,2018-10-17 19:16:21,2018-10-17 18:52:04,2018-10-17 19:05:31
RPA3490,KIAH,APREQ,2018-10-17 19:38:32,2018-10-17 19:45:54,2018-10-17 19:43:13,-2.0,True,False,,6.2,,2018-10-17 19:18:35,0.0,2018-10-17 19:38:32,2018-10-17 19:45:54,,
AAL2040,KATL,APREQ,2018-10-17 19:15:39,2018-10-17 19:45:34,2018-10-17 19:44:30,-1.0,True,True,2018-10-17 19:30:00,0.6,2018-10-17 19:24:00,2018-10-17 19:28:20,0.0,2018-10-17 19:15:39,2018-10-17 19:45:34,,
DAL2133,KATL,APREQ,2018-10-17 19:59:25,2018-10-17 20:05:47,2018-10-17 20:03:24,-2.0,True,True,2018-10-17 19:52:00,2.6,2018-10-17 19:52:00,2018-10-17 19:53:06,1.0,2018-10-17 19:37:14,2018-10-17 20:28:47,2018-10-17 19:59:25,2018-10-17 20:05:47
JIA5354,KATL,APREQ,2018-10-17 20:01:16,2018-10-17 20:23:57,2018-10-17 20:21:24,-2.0,True,True,2018-10-17 19:51:45,18.3,2018-10-17 19:51:45,2018-10-17 19:52:31,1.0,2018-10-17 19:36:55,2018-10-17 20:22:53,2018-10-17 20:01:16,2018-10-17 20:23:57
SKW5365,KORD,APREQ,2018-10-17 21:10:47,2018-10-17 21:17:59,2018-10-17 21:15:48,-2.0,True,False,,4.3,,2018-10-17 20:59:42,0.0,2018-10-17 21:10:47,2018-10-17 21:17:59,,
JIA5212,KATL,APREQ,2018-10-17 22:10:19,2018-10-17 22:21:58,2018-10-17 22:20:06,-1.0,True,True,2018-10-17 21:56:57,5.2,2018-10-17 21:56:57,2018-10-17 21:58:10,1.0,2018-10-17 21:42:06,2018-10-17 22:32:02,2018-10-17 22:10:19,2018-10-17 22:21:58
AAL2488,KORD,APREQ,2018-10-17 22:15:06,2018-10-17 22:33:33,2018-10-17 22:32:38,-1.0,True,False,,6.3,2018-10-17 22:09:00,2018-10-17 22:13:14,0.0,2018-10-17 22:15:06,2018-10-17 22:33:33,,
AAL763,KATL,APREQ,2018-10-18 00:23:34,2018-10-18 00:48:53,2018-10-18 00:52:53,4.0,False,True,2018-10-18 00:19:00,19.3,2018-10-18 00:19:00,2018-10-18 00:16:58,2.0,2018-10-18 00:04:14,2018-10-18 00:48:31,2018-10-18 00:23:34,2018-10-18 00:48:53
