Callsign,Destination,Release Type,Time APREQ Scheduled in TBFM,APREQ Time,Estimated Wheels Off,Compliance (minutes),Compliant,Pre-Scheduled,EOBT at Pre-Schedule,TBFM Assigned Delay (minutes),EOBT at Pushback,Actual Pushback,Number of APREQ Updates,First Time APREQ Scheduled in TBFM,First APREQ Time,Last Time APREQ Scheduled in TBFM,Last APREQ Time
AAL1562,KIAH,APREQ,2018-10-19 19:53:54,2018-10-19 20:15:52,2018-10-19 20:14:23,-1.0,True,False,,9.3,2018-10-19 19:50:00,2018-10-19 19:56:46,0.0,2018-10-19 19:53:54,2018-10-19 20:15:52,,
AAL1618,KDFW,APREQ,2018-10-19 20:12:05,2018-10-19 20:30:36,2018-10-19 20:28:24,-2.0,True,False,,-0.3,2018-10-19 20:10:00,2018-10-19 20:12:31,0.0,2018-10-19 20:12:05,2018-10-19 20:30:36,,
DAL2133,KATL,APREQ,2018-10-19 19:37:24,2018-10-19 20:33:33,2018-10-19 20:31:03,-2.0,True,True,2018-10-19 19:52:00,26.5,2018-10-19 19:50:00,2018-10-19 19:51:11,0.0,2018-10-19 19:37:24,2018-10-19 20:33:33,,
JIA5354,KATL,APREQ,2018-10-19 19:46:11,2018-10-19 20:47:15,2018-10-19 20:47:45,0.0,True,True,2018-10-19 19:56:00,27.1,2018-10-19 19:56:00,2018-10-19 19:51:54,0.0,2018-10-19 19:46:11,2018-10-19 20:47:15,,
SKW5365,KORD,APREQ,2018-10-19 21:07:17,2018-10-19 21:25:00,2018-10-19 21:23:35,-2.0,True,False,,6.4,,2018-10-19 21:09:32,0.0,2018-10-19 21:07:17,2018-10-19 21:25:00,,
DAL2642,KATL,APREQ,2018-10-19 20:50:13,2018-10-19 21:35:34,2018-10-19 21:33:18,-2.0,True,True,2018-10-19 21:05:00,8.5,2018-10-19 21:05:00,2018-10-19 21:08:35,0.0,2018-10-19 20:50:13,2018-10-19 21:35:34,,
AAL1152,KIAH,APREQ,2018-10-19 21:57:41,2018-10-19 22:17:47,2018-10-19 22:16:45,-1.0,True,False,,2.2,2018-10-19 21:00:40,2018-10-19 22:03:15,0.0,2018-10-19 21:57:41,2018-10-19 22:17:47,,
JIA5212,KATL,APREQ,2018-10-19 22:11:11,2018-10-19 22:23:14,2018-10-19 22:23:13,0.0,True,True,2018-10-19 22:00:00,-10.6,2018-10-19 22:00:00,2018-10-19 21:57:13,1.0,2018-10-19 21:45:18,2018-10-19 22:34:25,2018-10-19 22:11:11,2018-10-19 22:23:14
AAL2488,KORD,APREQ,2018-10-19 22:01:35,2018-10-19 22:25:00,2018-10-19 22:24:25,-1.0,True,False,,4.9,2018-10-19 21:59:00,2018-10-19 22:02:46,0.0,2018-10-19 22:01:35,2018-10-19 22:25:00,,
RPA3657,KIAH,FREE,,,2018-10-19 22:46:22,,True,,,,,2018-10-19 22:20:51,,,,,
AAL1816,KDFW,APREQ,2018-10-19 22:32:35,2018-10-19 22:49:38,2018-10-19 22:51:46,2.0,False,False,,5.3,2018-10-19 22:18:40,2018-10-19 22:25:50,0.0,2018-10-19 22:32:35,2018-10-19 22:49:38,,
DAL826,KATL,APREQ,2018-10-19 23:33:14,2018-10-20 00:10:35,2018-10-20 00:12:12,2.0,False,True,2018-10-19 23:45:00,10.0,2018-10-19 23:45:00,2018-10-19 23:42:53,0.0,2018-10-19 23:33:14,2018-10-20 00:10:35,,
AAL1831,KDFW,APREQ,2018-10-19 23:58:10,2018-10-20 00:20:38,2018-10-20 00:21:59,1.0,True,False,,6.3,2018-10-19 23:54:59,2018-10-19 23:57:58,1.0,2018-10-19 23:58:09,2018-10-20 00:20:00,2018-10-19 23:58:10,2018-10-20 00:20:38
AAL763,KATL,APREQ,2018-10-20 00:04:12,2018-10-20 00:50:14,2018-10-20 00:52:56,2.0,False,True,2018-10-20 00:19:00,8.2,2018-10-20 00:19:00,2018-10-20 00:13:16,0.0,2018-10-20 00:04:12,2018-10-20 00:50:14,,
