Callsign,Destination,Release Type,Time APREQ Scheduled in TBFM,APREQ Time,Estimated Wheels Off,Compliance (minutes),Compliant,Pre-Scheduled,EOBT at Pre-Schedule,TBFM Assigned Delay (minutes),EOBT at Pushback,Actual Pushback,Number of APREQ Updates,First Time APREQ Scheduled in TBFM,First APREQ Time,Last Time APREQ Scheduled in TBFM,Last APREQ Time
AAL813,KDFW,APREQ,2018-10-15 11:28:10,2018-10-15 11:48:00,2018-10-15 11:49:15,1.0,True,False,,-6.0,2018-10-15 11:36:47,2018-10-15 11:36:06,0.0,2018-10-15 11:28:10,2018-10-15 11:48:00,,
AAL462,KORD,APREQ,2018-10-15 11:45:03,2018-10-15 12:00:00,2018-10-15 11:55:13,-5.0,False,False,,5.9,2018-10-15 11:36:00,2018-10-15 11:38:45,0.0,2018-10-15 11:45:03,2018-10-15 12:00:00,,
DAL1591,KATL,APREQ,2018-10-15 11:33:27,2018-10-15 12:02:47,2018-10-15 11:59:08,-3.0,False,False,,0.1,2018-10-15 11:30:00,2018-10-15 11:36:50,1.0,2018-10-15 11:32:23,2018-10-15 12:02:41,2018-10-15 11:33:27,2018-10-15 12:02:47
AAL419,KATL,APREQ,2018-10-15 11:40:09,2018-10-15 12:13:25,2018-10-15 12:14:19,1.0,True,True,2018-10-15 11:55:00,0.0,2018-10-15 11:55:00,2018-10-15 11:50:10,0.0,2018-10-15 11:40:09,2018-10-15 12:13:25,,
RPA3522,KIAH,FREE,,,2018-10-15 13:17:06,,True,,,,,2018-10-15 12:56:45,,,,,
AAL1643,KATL,APREQ,2018-10-15 13:51:39,2018-10-15 13:56:06,2018-10-15 14:00:02,4.0,False,True,2018-10-15 13:32:01,1.1,2018-10-15 13:32:40,2018-10-15 13:31:35,2.0,2018-10-15 13:19:29,2018-10-15 13:56:43,2018-10-15 13:51:39,2018-10-15 13:56:06
AAL487,KORD,FREE,,,2018-10-15 14:13:34,,True,,,,2018-10-15 13:34:41,2018-10-15 13:40:27,,,,,
DAL2422,KATL,APREQ,2018-10-15 13:51:46,2018-10-15 14:13:52,2018-10-15 14:15:19,2.0,False,True,2018-10-15 13:35:00,17.6,2018-10-15 13:35:00,2018-10-15 13:36:34,2.0,2018-10-15 13:25:15,2018-10-15 13:57:21,2018-10-15 13:51:46,2018-10-15 14:13:52
DAL2609,KATL,APREQ,2018-10-15 14:28:21,2018-10-15 14:57:41,2018-10-15 14:57:47,0.0,True,True,2018-10-15 14:42:00,0.6,2018-10-15 14:42:00,2018-10-15 14:38:51,0.0,2018-10-15 14:28:21,2018-10-15 14:57:41,,
GJS4461,KORD,APREQ,2018-10-15 14:42:18,2018-10-15 14:59:34,2018-10-15 14:59:12,0.0,True,False,,5.3,,2018-10-15 14:43:05,0.0,2018-10-15 14:42:18,2018-10-15 14:59:34,,
AAL620,KIAH,APREQ,2018-10-15 15:17:03,2018-10-15 15:38:03,2018-10-15 15:37:39,-1.0,True,False,,-0.1,2018-10-15 15:20:00,2018-10-15 15:22:20,0.0,2018-10-15 15:17:03,2018-10-15 15:38:03,,
AAL864,KORD,APREQ,2018-10-15 15:57:10,2018-10-15 16:13:29,2018-10-15 16:14:15,1.0,True,False,,3.6,2018-10-15 15:39:44,2018-10-15 15:45:41,1.0,2018-10-15 15:43:21,2018-10-15 16:05:13,2018-10-15 15:57:10,2018-10-15 16:13:29
ASH6212,KIAH,APREQ,2018-10-15 15:43:35,2018-10-15 16:16:32,2018-10-15 16:15:53,-1.0,True,False,,8.7,,2018-10-15 15:45:31,0.0,2018-10-15 15:43:35,2018-10-15 16:16:32,,
JIA5333,KATL,APREQ,2018-10-15 16:05:41,2018-10-15 16:20:59,2018-10-15 16:20:46,0.0,True,True,2018-10-15 15:41:09,-2.8,2018-10-15 15:41:33,2018-10-15 15:51:21,1.0,2018-10-15 15:27:08,2018-10-15 16:18:47,2018-10-15 16:05:41,2018-10-15 16:20:59
DAL2251,KATL,APREQ,2018-10-15 16:15:16,2018-10-15 16:46:00,2018-10-15 16:48:23,2.0,False,True,2018-10-15 16:30:00,0.6,2018-10-15 16:30:00,2018-10-15 16:39:33,0.0,2018-10-15 16:15:16,2018-10-15 16:46:00,,
AAL877,KATL,APREQ,2018-10-15 17:31:48,2018-10-15 17:40:46,2018-10-15 17:43:13,3.0,False,True,2018-10-15 17:20:00,-7.6,2018-10-15 17:20:00,2018-10-15 17:23:59,1.0,2018-10-15 17:05:18,2018-10-15 17:48:57,2018-10-15 17:31:48,2018-10-15 17:40:46
AAL1650,KORD,APREQ,2018-10-15 17:36:43,2018-10-15 17:59:32,2018-10-15 17:57:25,-2.0,True,False,,6.6,2018-10-15 17:16:00,2018-10-15 17:33:02,0.0,2018-10-15 17:36:43,2018-10-15 17:59:32,,
RPA3460,KORD,APREQ,2018-10-15 17:36:50,2018-10-15 18:07:34,2018-10-15 18:05:50,-2.0,True,False,,4.9,,2018-10-15 17:38:18,0.0,2018-10-15 17:36:50,2018-10-15 18:07:34,,
DAL1095,KATL,APREQ,2018-10-15 17:46:15,2018-10-15 18:22:10,2018-10-15 18:20:52,-2.0,True,True,2018-10-15 18:01:00,5.6,2018-10-15 18:00:00,2018-10-15 18:02:30,0.0,2018-10-15 17:46:15,2018-10-15 18:22:10,,
