Callsign,Destination,Release Type,Time APREQ Scheduled in TBFM,APREQ Time,Estimated Wheels Off,Compliance (minutes),Compliant,Pre-Scheduled,EOBT at Pre-Schedule,TBFM Assigned Delay (minutes),EOBT at Pushback,Actual Pushback,Number of APREQ Updates,First Time APREQ Scheduled in TBFM,First APREQ Time,Last Time APREQ Scheduled in TBFM,Last APREQ Time
ASH6065,KIAH,APREQ,2018-10-24 11:14:41,2018-10-24 11:21:00,2018-10-24 11:19:08,-2.0,True,False,,-2.3,,2018-10-24 11:13:16,0,2018-10-24 11:14:41,2018-10-24 11:21:00,,
AAL462,KORD,APREQ,2018-10-24 11:33:59,2018-10-24 12:00:00,2018-10-24 11:58:28,-2.0,True,False,,18.3,2018-10-24 11:36:00,2018-10-24 11:28:26,0,2018-10-24 11:33:59,2018-10-24 12:00:00,,
DAL1591,KATL,APREQ,2018-10-24 11:20:04,2018-10-24 12:05:05,2018-10-24 12:01:57,-4.0,False,True,2018-10-24 11:30:00,13.8,2018-10-24 11:30:00,2018-10-24 11:29:01,0,2018-10-24 11:20:04,2018-10-24 12:05:05,,
AAL419,KATL,APREQ,2018-10-24 11:36:06,2018-10-24 12:12:31,2018-10-24 12:11:48,-1.0,True,True,2018-10-24 11:50:46,4.2,2018-10-24 11:50:46,2018-10-24 11:49:47,0,2018-10-24 11:36:06,2018-10-24 12:12:31,,
AAL861,KIAH,APREQ,2018-10-24 12:48:51,2018-10-24 13:17:43,2018-10-24 13:01:47,-16.0,False,False,,15.5,2018-10-24 12:50:00,2018-10-24 12:50:10,0,2018-10-24 12:48:51,2018-10-24 13:17:43,,
RPA3522,KIAH,APREQ,2018-10-24 13:07:37,2018-10-24 13:14:02,2018-10-24 13:12:21,-2.0,True,False,,3.2,,2018-10-24 12:57:54,0,2018-10-24 13:07:37,2018-10-24 13:14:02,,
AAL1643,KATL,APREQ,2018-10-24 13:20:10,2018-10-24 13:53:41,2018-10-24 13:51:22,-2.0,True,True,2018-10-24 13:35:00,1.0,2018-10-24 13:28:00,2018-10-24 13:33:40,0,2018-10-24 13:20:10,2018-10-24 13:53:41,,
DAL2422,KATL,APREQ,2018-10-24 13:20:13,2018-10-24 14:00:57,2018-10-24 13:56:12,-4.0,False,True,2018-10-24 13:35:00,-1.0,2018-10-24 13:27:00,2018-10-24 13:34:33,0,2018-10-24 13:20:13,2018-10-24 14:00:57,,
DAL2609,KATL,APREQ,2018-10-24 14:27:12,2018-10-24 14:59:50,2018-10-24 14:57:10,-2.0,True,True,2018-10-24 14:42:00,0.6,2018-10-24 14:42:00,2018-10-24 14:39:29,0,2018-10-24 14:27:12,2018-10-24 14:59:50,,
JIA5333,KATL,APREQ,2018-10-24 15:30:15,2018-10-24 16:17:29,2018-10-24 16:15:43,-2.0,True,True,2018-10-24 15:45:00,0.6,2018-10-24 15:39:00,2018-10-24 15:51:29,0,2018-10-24 15:30:15,2018-10-24 16:17:29,,
DAL2251,KATL,APREQ,2018-10-24 15:45:17,2018-10-24 16:24:57,2018-10-24 16:23:15,-1.0,True,True,2018-10-24 16:00:00,1.6,2018-10-24 16:00:00,2018-10-24 15:58:50,0,2018-10-24 15:45:17,2018-10-24 16:24:57,,
DAL1095,KATL,APREQ,2018-10-24 17:00:15,2018-10-24 17:41:20,2018-10-24 17:40:01,-1.0,True,True,2018-10-24 17:15:00,0.6,2018-10-24 17:15:00,2018-10-24 17:16:20,0,2018-10-24 17:00:15,2018-10-24 17:41:20,,
AAL877,KATL,APREQ,2018-10-24 17:02:29,2018-10-24 17:42:53,2018-10-24 17:43:11,1.0,True,True,2018-10-24 17:17:02,0.9,2018-10-24 17:17:02,2018-10-24 17:22:46,0,2018-10-24 17:02:29,2018-10-24 17:42:53,,
AAL665,KDFW,APREQ,2018-10-24 18:40:52,2018-10-24 18:52:38,2018-10-24 18:53:42,1.0,True,False,,1.0,2018-10-24 18:34:52,2018-10-24 18:33:24,0,2018-10-24 18:40:52,2018-10-24 18:52:38,,
DAL2597,KATL,APREQ,2018-10-24 18:34:12,2018-10-24 19:13:34,2018-10-24 19:10:02,-3.0,False,True,2018-10-24 18:49:00,0.6,2018-10-24 18:45:00,2018-10-24 18:49:32,0,2018-10-24 18:34:12,2018-10-24 19:13:34,,
AAL2040,KATL,APREQ,2018-10-24 19:02:18,2018-10-24 19:32:12,2018-10-24 19:31:04,-1.0,True,True,2018-10-24 19:11:58,4.0,2018-10-24 19:11:58,2018-10-24 19:09:07,0,2018-10-24 19:02:18,2018-10-24 19:32:12,,
DAL2133,KATL,APREQ,2018-10-24 19:46:51,2018-10-24 20:00:13,2018-10-24 19:58:14,-2.0,True,True,,-11.5,2018-10-24 19:45:00,2018-10-24 19:46:42,1,2018-10-24 19:37:11,2018-10-24 20:12:20,2018-10-24 19:46:51,2018-10-24 20:00:13
JIA5354,KATL,APREQ,2018-10-24 19:39:04,2018-10-24 20:22:32,2018-10-24 20:21:14,-1.0,True,True,2018-10-24 19:53:52,6.3,2018-10-24 19:53:52,2018-10-24 20:01:43,0,2018-10-24 19:39:04,2018-10-24 20:22:32,,
