Callsign,Destination,Release Type,Time APREQ Scheduled in TBFM,APREQ Time,Estimated Wheels Off,Compliance (minutes),Compliant,Pre-Scheduled,EOBT at Pre-Schedule,TBFM Assigned Delay (minutes),EOBT at Pushback,Actual Pushback,Number of APREQ Updates,First Time APREQ Scheduled in TBFM,First APREQ Time,Last Time APREQ Scheduled in TBFM,Last APREQ Time
AAL813,KDFW,APREQ,2018-10-18 11:41:54,2018-10-18 11:55:10,2018-10-18 11:53:08,-2.0,True,False,,7.8,2018-10-18 11:34:23,2018-10-18 11:25:25,0.0,2018-10-18 11:41:54,2018-10-18 11:55:10,,
AAL462,KORD,APREQ,2018-10-18 11:41:30,2018-10-18 12:00:00,2018-10-18 12:00:16,0.0,True,False,,10.5,2018-10-18 11:37:00,2018-10-18 11:39:11,0.0,2018-10-18 11:41:30,2018-10-18 12:00:00,,
ASH6065,KIAH,APREQ,2018-10-18 11:43:21,2018-10-18 12:09:08,2018-10-18 12:09:01,0.0,True,False,,0.7,,2018-10-18 11:43:15,0.0,2018-10-18 11:43:21,2018-10-18 12:09:08,,
DAL1591,KATL,APREQ,2018-10-18 11:38:23,2018-10-18 12:18:10,2018-10-18 12:17:05,-1.0,True,True,2018-10-18 11:30:00,35.8,2018-10-18 11:19:00,2018-10-18 11:27:14,2.0,2018-10-18 11:15:09,2018-10-18 11:58:15,2018-10-18 11:38:23,2018-10-18 12:18:10
AAL419,KATL,APREQ,2018-10-18 12:29:15,2018-10-18 12:33:00,2018-10-18 12:31:57,-2.0,True,True,2018-10-18 11:55:00,2.6,2018-10-18 12:15:00,2018-10-18 12:25:36,2.0,2018-10-18 11:40:15,2018-10-18 12:24:34,2018-10-18 12:29:15,2018-10-18 12:33:00
AAL1643,KATL,APREQ,2018-10-18 13:20:20,2018-10-18 13:54:21,2018-10-18 13:52:01,-2.0,True,True,2018-10-18 13:35:00,0.6,2018-10-18 13:31:00,2018-10-18 13:33:25,3.0,2018-10-18 12:41:32,2018-10-18 13:05:55,2018-10-18 13:20:20,2018-10-18 13:54:21
AAL487,KORD,APREQ,2018-10-18 13:37:44,2018-10-18 14:08:17,2018-10-18 14:04:07,-4.0,False,False,,3.8,2018-10-18 13:33:00,2018-10-18 13:38:50,0.0,2018-10-18 13:37:44,2018-10-18 14:08:17,,
GJS4461,KORD,APREQ,2018-10-18 14:32:35,2018-10-18 14:43:31,2018-10-18 14:42:45,-1.0,True,False,,-2.2,,2018-10-18 14:31:16,0.0,2018-10-18 14:32:35,2018-10-18 14:43:31,,
DAL2609,KATL,APREQ,2018-10-18 14:28:44,2018-10-18 15:04:06,2018-10-18 15:01:10,-3.0,False,True,2018-10-18 14:42:00,4.9,2018-10-18 14:42:00,2018-10-18 14:41:34,0.0,2018-10-18 14:28:44,2018-10-18 15:04:06,,
AAL864,KORD,APREQ,2018-10-18 15:25:41,2018-10-18 15:41:25,2018-10-18 15:37:44,-4.0,False,False,,3.7,2018-10-18 15:23:50,2018-10-18 15:23:13,0.0,2018-10-18 15:25:41,2018-10-18 15:41:25,,
JIA5333,KATL,APREQ,2018-10-18 16:02:18,2018-10-18 16:21:02,2018-10-18 16:20:55,-1.0,True,True,2018-10-18 15:45:00,2.6,2018-10-18 15:45:00,2018-10-18 15:50:49,1.0,2018-10-18 15:30:10,2018-10-18 16:16:41,2018-10-18 16:02:18,2018-10-18 16:21:02
ASH6212,KIAH,APREQ,2018-10-18 16:05:17,2018-10-18 16:22:14,2018-10-18 16:21:54,-1.0,True,False,,7.4,,2018-10-18 15:43:14,3.0,2018-10-18 15:44:37,2018-10-18 16:09:05,2018-10-18 16:05:17,2018-10-18 16:22:14
DAL2251,KATL,APREQ,2018-10-18 15:45:16,2018-10-18 16:23:29,2018-10-18 16:23:15,0.0,True,True,2018-10-18 16:00:00,0.9,2018-10-18 16:00:00,2018-10-18 16:00:03,0.0,2018-10-18 15:45:16,2018-10-18 16:23:29,,
AAL877,KATL,APREQ,2018-10-18 17:03:00,2018-10-18 17:42:40,2018-10-18 17:40:31,-2.0,True,True,2018-10-18 17:17:44,4.6,2018-10-18 17:17:44,2018-10-18 17:16:43,0.0,2018-10-18 17:03:00,2018-10-18 17:42:40,,
DAL1095,KATL,APREQ,2018-10-18 17:00:10,2018-10-18 17:41:40,2018-10-18 17:44:42,3.0,False,True,2018-10-18 17:15:00,-0.8,2018-10-18 17:15:00,2018-10-18 17:21:50,0.0,2018-10-18 17:00:10,2018-10-18 17:41:40,,
