Callsign,Destination,Release Type,Time APREQ Scheduled in TBFM,APREQ Time,Estimated Wheels Off,Compliance (minutes),Compliant,Pre-Scheduled,EOBT at Pre-Schedule,TBFM Assigned Delay (minutes),EOBT at Pushback,Actual Pushback,Number of APREQ Updates,First Time APREQ Scheduled in TBFM,First APREQ Time,Last Time APREQ Scheduled in TBFM,Last APREQ Time
ASH6065,KIAH,APREQ,2018-10-21 10:42:52,2018-10-21 10:55:26,2018-10-21 10:59:12,4.0,False,False,,2.8,,2018-10-21 10:36:24,1.0,2018-10-21 10:42:49,2018-10-21 10:53:54,2018-10-21 10:42:52,2018-10-21 10:55:26
DAL371,KATL,APREQ,2018-10-21 11:03:55,2018-10-21 11:13:02,2018-10-21 11:11:06,-2.0,True,True,2018-10-21 11:00:00,5.2,2018-10-21 11:00:00,2018-10-21 10:57:28,1.0,2018-10-21 10:45:12,2018-10-21 11:18:39,2018-10-21 11:03:55,2018-10-21 11:13:02
AAL861,KIAH,APREQ,2018-10-21 12:49:38,2018-10-21 13:04:54,2018-10-21 13:02:34,-2.0,True,False,,7.7,2018-10-21 12:50:00,2018-10-21 12:47:30,0.0,2018-10-21 12:49:38,2018-10-21 13:04:54,,
RPA3522,KIAH,APREQ,2018-10-21 12:59:18,2018-10-21 13:17:53,2018-10-21 13:15:49,-2.0,True,False,,-2.6,,2018-10-21 13:01:06,0.0,2018-10-21 12:59:18,2018-10-21 13:17:53,,
DAL2422,KATL,APREQ,2018-10-21 13:20:35,2018-10-21 13:59:55,2018-10-21 13:59:43,0.0,True,True,2018-10-21 13:35:00,1.7,2018-10-21 13:35:00,2018-10-21 13:33:51,0.0,2018-10-21 13:20:35,2018-10-21 13:59:55,,
GJS4461,KORD,APREQ,2018-10-21 14:25:39,2018-10-21 14:45:00,2018-10-21 14:44:25,-1.0,True,False,,1.1,,2018-10-21 14:26:32,0.0,2018-10-21 14:25:39,2018-10-21 14:45:00,,
DAL2609,KATL,APREQ,2018-10-21 14:27:13,2018-10-21 14:59:50,2018-10-21 14:58:29,-1.0,True,True,2018-10-21 14:42:00,0.6,2018-10-21 14:42:00,2018-10-21 14:38:45,0.0,2018-10-21 14:27:13,2018-10-21 14:59:50,,
SKW1362,KORD,APREQ,2018-10-21 15:32:27,2018-10-21 15:45:13,2018-10-21 15:46:08,1.0,True,False,,0.6,,2018-10-21 15:31:05,0.0,2018-10-21 15:32:27,2018-10-21 15:45:13,,
AAL1110,KORD,APREQ,2018-10-21 15:39:49,2018-10-21 16:10:00,2018-10-21 16:10:27,0.0,True,False,,23.1,2018-10-21 15:25:00,2018-10-21 15:33:51,0.0,2018-10-21 15:39:49,2018-10-21 16:10:00,,
JIA5333,KATL,APREQ,2018-10-21 15:30:13,2018-10-21 16:20:09,2018-10-21 16:26:48,6.0,False,True,2018-10-21 15:45:00,0.6,2018-10-21 15:43:00,2018-10-21 15:50:45,0.0,2018-10-21 15:30:13,2018-10-21 16:20:09,,
DAL2251,KATL,APREQ,2018-10-21 15:45:17,2018-10-21 16:36:33,2018-10-21 16:37:33,1.0,True,True,2018-10-21 16:00:00,5.4,2018-10-21 16:00:00,2018-10-21 16:08:39,0.0,2018-10-21 15:45:17,2018-10-21 16:36:33,,
DAL1095,KATL,APREQ,2018-10-21 17:05:40,2018-10-21 17:43:47,2018-10-21 17:41:44,-2.0,True,True,2018-10-21 17:15:00,-10.8,2018-10-21 17:15:00,2018-10-21 17:16:09,1.0,2018-10-21 17:05:35,2018-10-21 17:55:13,2018-10-21 17:05:40,2018-10-21 17:43:47
RPA3460,KORD,APREQ,2018-10-21 17:50:59,2018-10-21 18:09:40,2018-10-21 18:07:12,-2.0,True,False,,14.4,,2018-10-21 17:37:10,4.0,2018-10-21 17:36:10,2018-10-21 18:00:59,2018-10-21 17:50:59,2018-10-21 18:09:40
