Callsign,Destination,Release Type,Time APREQ Scheduled in TBFM,APREQ Time,Estimated Wheels Off,Compliance (minutes),Compliant,Pre-Scheduled,EOBT at Pre-Schedule,TBFM Assigned Delay (minutes),EOBT at Pushback,Actual Pushback,Number of APREQ Updates,First Time APREQ Scheduled in TBFM,First APREQ Time,Last Time APREQ Scheduled in TBFM,Last APREQ Time
ASH6065,KIAH,APREQ,2018-10-23 10:52:59,2018-10-23 11:26:07,2018-10-23 10:58:20,-28.0,False,False,,32.4,,2018-10-23 10:41:29,0,2018-10-23 10:52:59,2018-10-23 11:26:07,,
AAL462,KORD,APREQ,2018-10-23 11:34:06,2018-10-23 11:49:00,2018-10-23 11:50:52,1.0,True,False,,1.5,2018-10-23 11:30:00,2018-10-23 11:35:30,0,2018-10-23 11:34:06,2018-10-23 11:49:00,,
DAL1591,KATL,APREQ,2018-10-23 11:15:09,2018-10-23 12:03:22,2018-10-23 12:02:04,-1.0,True,True,2018-10-23 11:30:00,8.9,2018-10-23 11:24:00,2018-10-23 11:34:12,0,2018-10-23 11:15:09,2018-10-23 12:03:22,,
AAL419,KATL,APREQ,2018-10-23 11:42:05,2018-10-23 12:18:48,2018-10-23 12:21:52,3.0,False,True,2018-10-23 11:55:00,5.4,2018-10-23 11:55:00,2018-10-23 11:46:25,0,2018-10-23 11:42:05,2018-10-23 12:18:48,,
AAL861,KIAH,APREQ,2018-10-23 12:51:43,2018-10-23 13:05:27,2018-10-23 13:03:56,-2.0,True,False,,0.4,2018-10-23 12:49:00,2018-10-23 12:52:10,0,2018-10-23 12:51:43,2018-10-23 13:05:27,,
DAL2422,KATL,APREQ,2018-10-23 13:30:25,2018-10-23 13:50:21,2018-10-23 13:46:45,-4.0,False,True,2018-10-23 13:35:00,-9.4,2018-10-23 13:28:00,2018-10-23 13:30:13,1,2018-10-23 13:20:24,2018-10-23 14:00:20,2018-10-23 13:30:25,2018-10-23 13:50:21
AAL1643,KATL,APREQ,2018-10-23 13:20:21,2018-10-23 13:51:37,2018-10-23 13:50:21,-1.0,True,True,2018-10-23 13:35:00,1.1,2018-10-23 13:35:00,2018-10-23 13:31:13,0,2018-10-23 13:20:21,2018-10-23 13:51:37,,
RPA3522,KIAH,APREQ,2018-10-23 13:47:06,2018-10-23 14:03:30,2018-10-23 14:04:12,1.0,True,False,,-11.6,,2018-10-23 13:47:48,0,2018-10-23 13:47:06,2018-10-23 14:03:30,,
DAL2609,KATL,APREQ,2018-10-23 14:27:11,2018-10-23 15:00:27,2018-10-23 15:00:36,0.0,True,True,2018-10-23 14:42:00,1.3,2018-10-23 14:42:00,2018-10-23 14:42:08,0,2018-10-23 14:27:11,2018-10-23 15:00:27,,
JIA5333,KATL,APREQ,2018-10-23 15:53:25,2018-10-23 16:03:33,2018-10-23 16:04:59,1.0,True,True,2018-10-23 15:42:51,-0.6,2018-10-23 15:42:51,2018-10-23 15:45:09,1,2018-10-23 15:28:00,2018-10-23 16:12:59,2018-10-23 15:53:25,2018-10-23 16:03:33
