Callsign,Destination,Release Type,Time APREQ Scheduled in TBFM,APREQ Time,Estimated Wheels Off,Compliance (minutes),Compliant,Pre-Scheduled,EOBT at Pre-Schedule,TBFM Assigned Delay (minutes),EOBT at Pushback,Actual Pushback,Number of APREQ Updates,First Time APREQ Scheduled in TBFM,First APREQ Time,Last Time APREQ Scheduled in TBFM,Last APREQ Time
AAL1650,KORD,APREQ,2018-10-16 17:20:39,2018-10-16 17:44:26,2018-10-16 17:43:11,-1.0,True,False,,2.9,2018-10-16 17:11:51,2018-10-16 17:17:52,1.0,2018-10-16 17:20:21,2018-10-16 17:42:08,2018-10-16 17:20:39,2018-10-16 17:44:26
RPA3460,KORD,APREQ,2018-10-16 17:41:59,2018-10-16 18:10:19,2018-10-16 18:08:29,-2.0,True,False,,9.7,,2018-10-16 17:43:44,0.0,2018-10-16 17:41:59,2018-10-16 18:10:19,,
AAL1661,KIAH,APREQ,2018-10-16 18:51:29,2018-10-16 19:20:05,2018-10-16 19:18:01,-2.0,True,False,,8.0,2018-10-16 18:44:00,2018-10-16 18:53:38,0.0,2018-10-16 18:51:29,2018-10-16 19:20:05,,
DAL2597,KATL,APREQ,2018-10-16 18:35:46,2018-10-16 19:22:06,2018-10-16 19:19:46,-3.0,False,True,2018-10-16 18:49:00,10.2,2018-10-16 18:49:00,2018-10-16 19:07:51,0.0,2018-10-16 18:35:46,2018-10-16 19:22:06,,
AAL2040,KATL,APREQ,2018-10-16 18:58:52,2018-10-16 19:31:45,2018-10-16 19:33:30,2.0,False,True,2018-10-16 19:13:02,3.7,2018-10-16 19:13:28,2018-10-16 19:08:03,0.0,2018-10-16 18:58:52,2018-10-16 19:31:45,,
RPA3490,KIAH,APREQ,2018-10-16 19:24:38,2018-10-16 19:46:32,2018-10-16 19:50:12,4.0,False,False,,10.7,,2018-10-16 19:22:39,0.0,2018-10-16 19:24:38,2018-10-16 19:46:32,,
DAL2133,KATL,FREE,,,2018-10-16 19:55:23,,True,,,,2018-10-16 19:45:00,2018-10-16 19:45:53,,,,,
JIA5354,KATL,APREQ,2018-10-16 19:41:24,2018-10-16 20:18:20,2018-10-16 20:15:32,-3.0,False,True,2018-10-16 19:56:00,1.2,2018-10-16 19:56:00,2018-10-16 19:53:40,0.0,2018-10-16 19:41:24,2018-10-16 20:18:20,,
DAL2642,KATL,APREQ,2018-10-16 20:50:27,2018-10-16 21:31:00,2018-10-16 21:27:48,-4.0,False,True,2018-10-16 21:05:00,8.3,2018-10-16 21:05:00,2018-10-16 21:00:21,0.0,2018-10-16 20:50:27,2018-10-16 21:31:00,,
AAL1152,KIAH,APREQ,2018-10-16 21:33:55,2018-10-16 21:46:56,2018-10-16 21:44:38,-2.0,True,False,,3.3,2018-10-16 21:29:59,2018-10-16 21:31:55,0.0,2018-10-16 21:33:55,2018-10-16 21:46:56,,
RPA3657,KIAH,APREQ,2018-10-16 21:57:59,2018-10-16 22:16:08,2018-10-16 22:12:33,-4.0,False,False,,4.2,,2018-10-16 21:56:08,0.0,2018-10-16 21:57:59,2018-10-16 22:16:08,,
JIA5212,KATL,APREQ,2018-10-16 21:50:21,2018-10-16 22:41:44,2018-10-16 22:37:44,-4.0,False,True,2018-10-16 22:00:00,18.6,2018-10-16 22:00:00,2018-10-16 21:57:09,0.0,2018-10-16 21:50:21,2018-10-16 22:41:44,,
DAL826,KATL,APREQ,2018-10-16 23:30:13,2018-10-17 00:03:21,2018-10-17 00:02:34,-1.0,True,True,2018-10-16 23:45:00,0.6,2018-10-16 23:37:00,2018-10-16 23:40:51,0.0,2018-10-16 23:30:13,2018-10-17 00:03:21,,
AAL763,KATL,APREQ,2018-10-17 00:30:11,2018-10-17 00:48:17,2018-10-17 00:44:07,-4.0,False,True,2018-10-17 00:17:02,12.8,2018-10-17 00:17:02,2018-10-17 00:22:20,4.0,2018-10-17 00:02:32,2018-10-17 00:49:05,2018-10-17 00:30:11,2018-10-17 00:48:17
