Callsign,Destination,Release Type,Time APREQ Scheduled in TBFM,APREQ Time,Estimated Wheels Off,Compliance (minutes),Compliant,Pre-Scheduled,EOBT at Pre-Schedule,TBFM Assigned Delay (minutes),EOBT at Pushback,Actual Pushback,Number of APREQ Updates,First Time APREQ Scheduled in TBFM,First APREQ Time,Last Time APREQ Scheduled in TBFM,Last APREQ Time
ASH6065,KIAH,APREQ,2018-10-16 10:48:07,2018-10-16 11:17:11,2018-10-16 11:15:07,-2.0,True,False,,23.7,,2018-10-16 10:46:16,0.0,2018-10-16 10:48:07,2018-10-16 11:17:11,,
DAL1591,KATL,APREQ,2018-10-16 11:38:27,2018-10-16 11:53:49,2018-10-16 11:51:41,-2.0,True,True,2018-10-16 11:30:00,7.0,2018-10-16 11:30:00,2018-10-16 11:27:53,2.0,2018-10-16 11:15:17,2018-10-16 11:51:26,2018-10-16 11:38:27,2018-10-16 11:53:49
AAL462,KORD,APREQ,2018-10-16 11:37:08,2018-10-16 11:55:52,2018-10-16 11:54:54,-1.0,True,False,,8.4,2018-10-16 11:36:00,2018-10-16 11:34:46,0.0,2018-10-16 11:37:08,2018-10-16 11:55:52,,
AAL419,KATL,APREQ,2018-10-16 11:40:23,2018-10-16 12:35:06,2018-10-16 12:33:31,-2.0,True,True,2018-10-16 11:55:00,24.0,2018-10-16 11:55:00,2018-10-16 11:49:27,0.0,2018-10-16 11:40:23,2018-10-16 12:35:06,,
AAL861,KIAH,APREQ,2018-10-16 12:44:09,2018-10-16 13:00:46,2018-10-16 12:58:54,-2.0,True,False,,-3.8,2018-10-16 12:50:00,2018-10-16 12:46:04,0.0,2018-10-16 12:44:09,2018-10-16 13:00:46,,
N940JF,KORD,APREQ,2018-10-16 13:00:49,2018-10-16 13:10:37,2018-10-16 13:08:16,-2.0,True,False,,4.6,,2018-10-16 12:31:09,0.0,2018-10-16 13:00:49,2018-10-16 13:10:37,,
RPA3522,KIAH,APREQ,2018-10-16 13:10:57,2018-10-16 13:15:18,2018-10-16 13:16:27,1.0,True,False,,1.1,,2018-10-16 13:01:29,1.0,2018-10-16 13:02:20,2018-10-16 13:21:28,2018-10-16 13:10:57,2018-10-16 13:15:18
AAL514,KDFW,FREE,,,2018-10-16 13:44:49,,True,,,,2018-10-16 13:35:00,2018-10-16 13:30:51,,,,,
AAL1643,KATL,APREQ,2018-10-16 13:20:19,2018-10-16 13:53:05,2018-10-16 13:49:04,-4.0,False,True,2018-10-16 13:35:00,0.6,2018-10-16 13:26:00,2018-10-16 13:32:51,0.0,2018-10-16 13:20:19,2018-10-16 13:53:05,,
DAL2422,KATL,APREQ,2018-10-16 13:20:16,2018-10-16 14:01:37,2018-10-16 14:00:59,-1.0,True,True,2018-10-16 13:35:00,1.1,2018-10-16 13:30:00,2018-10-16 13:42:08,0.0,2018-10-16 13:20:16,2018-10-16 14:01:37,,
DAL2609,KATL,APREQ,2018-10-16 14:27:24,2018-10-16 15:07:00,2018-10-16 15:03:32,-4.0,False,True,2018-10-16 14:42:00,7.8,2018-10-16 14:42:00,2018-10-16 14:38:53,0.0,2018-10-16 14:27:24,2018-10-16 15:07:00,,
ASH6212,KIAH,APREQ,2018-10-16 15:53:23,2018-10-16 16:05:00,2018-10-16 16:07:17,2.0,False,False,,-0.4,,2018-10-16 15:44:41,0.0,2018-10-16 15:53:23,2018-10-16 16:05:00,,
DAL2251,KATL,APREQ,2018-10-16 15:45:13,2018-10-16 16:22:03,2018-10-16 16:18:34,-4.0,False,True,2018-10-16 16:00:00,0.0,2018-10-16 16:01:00,2018-10-16 16:01:46,0.0,2018-10-16 15:45:13,2018-10-16 16:22:03,,
JIA5333,KATL,APREQ,2018-10-16 15:58:22,2018-10-16 16:30:25,2018-10-16 16:28:10,-2.0,True,True,2018-10-16 15:45:00,0.5,2018-10-16 15:45:00,2018-10-16 15:55:36,2.0,2018-10-16 15:32:14,2018-10-16 16:06:09,2018-10-16 15:58:22,2018-10-16 16:30:25
AAL877,KATL,APREQ,2018-10-16 17:01:09,2018-10-16 17:41:38,2018-10-16 17:40:54,-1.0,True,True,2018-10-16 17:15:53,1.0,2018-10-16 17:15:53,2018-10-16 17:24:57,0.0,2018-10-16 17:01:09,2018-10-16 17:41:38,,
DAL1095,KATL,APREQ,2018-10-16 17:00:13,2018-10-16 17:43:23,2018-10-16 17:42:22,-1.0,True,True,2018-10-16 17:15:00,0.6,2018-10-16 17:15:00,2018-10-16 17:14:42,0.0,2018-10-16 17:00:13,2018-10-16 17:43:23,,
