Callsign,Destination,Release Type,Time APREQ Scheduled in TBFM,APREQ Time,Estimated Wheels Off,Compliance (minutes),Compliant,Pre-Scheduled,EOBT at Pre-Schedule,TBFM Assigned Delay (minutes),EOBT at Pushback,Actual Pushback,Number of APREQ Updates,First Time APREQ Scheduled in TBFM,First APREQ Time,Last Time APREQ Scheduled in TBFM,Last APREQ Time
ASH6065,KIAH,APREQ,2018-10-22 10:44:27,2018-10-22 11:00:11,2018-10-22 11:00:00,0.0,True,False,,4.4,,2018-10-22 10:41:12,0.0,2018-10-22 10:44:27,2018-10-22 11:00:11,,
AAL462,KORD,FREE,,,2018-10-22 11:58:02,,True,,,,2018-10-22 11:45:00,2018-10-22 11:43:56,,,,,
DAL1591,KATL,APREQ,2018-10-22 11:18:23,2018-10-22 12:02:19,2018-10-22 12:01:21,-1.0,True,True,2018-10-22 11:30:00,11.1,2018-10-22 11:30:00,2018-10-22 11:32:24,0.0,2018-10-22 11:18:23,2018-10-22 12:02:19,,
LXJ586,KATL,APREQ,2018-10-22 11:18:26,2018-10-22 12:11:45,2018-10-22 12:11:36,0.0,True,True,,21.8,,2018-10-22 12:00:01,0.0,2018-10-22 11:18:26,2018-10-22 12:11:45,,
AAL419,KATL,APREQ,2018-10-22 12:06:20,2018-10-22 12:26:26,2018-10-22 12:22:35,-4.0,False,True,2018-10-22 11:55:00,6.9,2018-10-22 11:59:00,2018-10-22 12:01:36,1.0,2018-10-22 11:42:27,2018-10-22 12:17:57,2018-10-22 12:06:20,2018-10-22 12:26:26
AAL861,KIAH,APREQ,2018-10-22 13:00:52,2018-10-22 13:12:17,2018-10-22 13:13:05,1.0,True,False,,8.1,2018-10-22 12:53:00,2018-10-22 12:56:00,1.0,2018-10-22 12:55:20,2018-10-22 13:15:43,2018-10-22 13:00:52,2018-10-22 13:12:17
RPA3522,KIAH,APREQ,2018-10-22 13:01:00,2018-10-22 13:16:20,2018-10-22 13:15:28,-1.0,True,False,,-10.5,,2018-10-22 13:00:42,1.0,2018-10-22 12:59:32,2018-10-22 13:27:29,2018-10-22 13:01:00,2018-10-22 13:16:20
DAL2422,KATL,FREE,,,2018-10-22 14:06:01,,True,,,,2018-10-22 13:35:00,2018-10-22 13:45:32,,,,,
AAL1643,KATL,FREE,,,2018-10-22 14:33:39,,True,,,,2018-10-22 14:10:00,2018-10-22 14:15:52,,,,,
DAL2609,KATL,APREQ,2018-10-22 14:29:14,2018-10-22 14:59:50,2018-10-22 14:57:29,-2.0,True,True,2018-10-22 14:42:00,0.6,2018-10-22 14:42:00,2018-10-22 14:43:08,0.0,2018-10-22 14:29:14,2018-10-22 14:59:50,,
